File_name,Youtube_id,FPS
02_Boxing,hqu6vzAxeos,30
03_Boxing,iUFjH-vfaL8,24
04_Basketball,AX8XWEd9CT8,24
05_Body,rgvPJsygNyo,30
06_Body,0VZJTifiTXM,30
07_Kungfu,Q0tIcxMcm4E,25
08_Kungfu,faV46N8q6hA,50
09_Kungfu,danzs9CcoMA,25
